INFO: Start processing file: data_b1.txt
ERROR: Faulty record in data_b1.txt: 10101.632363L4
ERROR: Faulty record in data_b1.txt: 47212.0768j43
ERROR: Faulty record in data_b1.txt: 27911.3906H92
ERROR: Faulty record in data_b1.txt: 5038.79v75
ERROR: Faulty record in data_b1.txt: 22863.147309a15
ERROR: Faulty record in data_b1.txt: 54977.07002F15
ERROR: Faulty record in data_b1.txt: 4593.82146c45
ERROR: Faulty record in data_b1.txt: 20177.83127b33
ERROR: Faulty record in data_b1.txt: 33855.29L16
ERROR: Faulty record in data_b1.txt: 14842.36085Y19
ERROR: Faulty record in data_b1.txt: 13327.9125F62
ERROR: Faulty record in data_b1.txt: 450.15g90
ERROR: Faulty record in data_b1.txt: 43104.0392L8
ERROR: Faulty record in data_b1.txt: 27263.530693s45
ERROR: Faulty record in data_b1.txt: 11445.04F53
ERROR: Faulty record in data_b1.txt: 12159.0936R42
ERROR: Faulty record in data_b1.txt: 27335.385242a68
ERROR: Faulty record in data_b1.txt: 44632.176P13
ERROR: Faulty record in data_b1.txt: 14814.2218y14
ERROR: Faulty record in data_b1.txt: 26184.401b91
ERROR: Faulty record in data_b1.txt: 5947.6352d82
ERROR: Faulty record in data_b1.txt: 32175.186x94
ERROR: Faulty record in data_b1.txt: 14032.47r86
ERROR: Faulty record in data_b1.txt: 42188.368Y94
ERROR: Faulty record in data_b1.txt: 13817.2313w26
ERROR: Faulty record in data_b1.txt: 26188.149V37
ERROR: Faulty record in data_b1.txt: 3014.967c74
ERROR: Faulty record in data_b1.txt: 12658.951D59
ERROR: Faulty record in data_b1.txt: 12954.5155Q60
ERROR: Faulty record in data_b1.txt: 31288.849991J20
ERROR: Faulty record in data_b1.txt: 1117.629681j64
ERROR: Faulty record in data_b1.txt: 3639.6738f95
ERROR: Faulty record in data_b1.txt: 8903.284x79
ERROR: Faulty record in data_b1.txt: 7502.252828K23
ERROR: Faulty record in data_b1.txt: 9978.191994z97
ERROR: Faulty record in data_b1.txt: 8035.611321S30
ERROR: Faulty record in data_b1.txt: 31721.2672p79
ERROR: Faulty record in data_b1.txt: 4873.627R91
ERROR: Faulty record in data_b1.txt: 31927.55Y70
ERROR: Faulty record in data_b1.txt: 4867.96955T98
ERROR: Faulty record in data_b1.txt: 48433.004q70
ERROR: Faulty record in data_b1.txt: 5711.866518W37
ERROR: Faulty record in data_b1.txt: 31880.53394Z82
ERROR: Faulty record in data_b1.txt: 4436.28k70
ERROR: Faulty record in data_b1.txt: 38447.523A93
ERROR: Faulty record in data_b1.txt: 21582.954z97
ERROR: Faulty record in data_b1.txt: 39983.503949f6
ERROR: Faulty record in data_b1.txt: 60384.582L13
ERROR: Faulty record in data_b1.txt: 48037.0719z82
ERROR: Faulty record in data_b1.txt: 24522.2456u54
ERROR: Faulty record in data_b1.txt: 17119.362229r71
ERROR: Faulty record in data_b1.txt: 16133.974f44
ERROR: Faulty record in data_b1.txt: 11435.69R88
ERROR: Faulty record in data_b1.txt: 36934.58v47
ERROR: Faulty record in data_b1.txt: 19176.039v59
ERROR: Faulty record in data_b1.txt: 15630.0474s34
ERROR: Faulty record in data_b1.txt: 15106.27917U61
ERROR: Faulty record in data_b1.txt: 26044.1804w5
ERROR: Faulty record in data_b1.txt: 473.14867Z12
ERROR: Faulty record in data_b1.txt: 8922.145583s39
ERROR: Faulty record in data_b1.txt: 7792.69v68
ERROR: Faulty record in data_b1.txt: 784.68N31
ERROR: Faulty record in data_b1.txt: 39391.88r5
ERROR: Faulty record in data_b1.txt: 47685.2661r99
ERROR: Faulty record in data_b1.txt: 31937.6087z51
ERROR: Faulty record in data_b1.txt: 18045.24Y98
ERROR: Faulty record in data_b1.txt: 9173.7a43
ERROR: Faulty record in data_b1.txt: 18937.35q20
ERROR: Faulty record in data_b1.txt: 32815.7714A61
ERROR: Faulty record in data_b1.txt: 37645.6065L38
ERROR: Faulty record in data_b1.txt: 6233.14132n83
ERROR: Faulty record in data_b1.txt: 12461.498755k70
ERROR: Faulty record in data_b1.txt: 10659.094D85
ERROR: Faulty record in data_b1.txt: 27356.305894d93
ERROR: Faulty record in data_b1.txt: 17575.844C50
ERROR: Faulty record in data_b1.txt: 14833.005236U84
ERROR: Faulty record in data_b1.txt: 31647.93712w95
ERROR: Faulty record in data_b1.txt: 13678.74Y96
ERROR: Faulty record in data_b1.txt: 33646.24Q81
ERROR: Faulty record in data_b1.txt: 17217.663465Y36
ERROR: Faulty record in data_b1.txt: 5477.458466i38
ERROR: Faulty record in data_b1.txt: 13326.93402m41
ERROR: Faulty record in data_b1.txt: 15707.6849U28
ERROR: Faulty record in data_b1.txt: 18708.8951z58
ERROR: Faulty record in data_b1.txt: 12145.8S83
ERROR: Faulty record in data_b1.txt: 17265.40396q39
ERROR: Faulty record in data_b1.txt: 17820.44g34
ERROR: Faulty record in data_b1.txt: 39341.7V93
ERROR: Faulty record in data_b1.txt: 5013.705B27
ERROR: Faulty record in data_b1.txt: 4961.075y46
ERROR: Faulty record in data_b1.txt: 26747.105f45
ERROR: Faulty record in data_b1.txt: 57166.81U60
ERROR: Faulty record in data_b1.txt: 17282.45b76
ERROR: Faulty record in data_b1.txt: 49572.74X35
ERROR: Faulty record in data_b1.txt: 3261.9723W21
ERROR: Faulty record in data_b1.txt: 6822.1165Z26
ERROR: Faulty record in data_b1.txt: 24749.3486z7
ERROR: Faulty record in data_b1.txt: 12008.5257k96
ERROR: Faulty record in data_b1.txt: 49809.05R92
ERROR: Faulty record in data_b1.txt: 24888.969z65
ERROR: Faulty record in data_b1.txt: 6214.9128q48
ERROR: Faulty record in data_b1.txt: 16051.65187g92
ERROR: Faulty record in data_b1.txt: 5353.09j78
ERROR: Faulty record in data_b1.txt: 30006.81q78
ERROR: Faulty record in data_b1.txt: 4744.56K59
ERROR: Faulty record in data_b1.txt: 20195.8389j50
ERROR: Faulty record in data_b1.txt: 48760.9699V10
ERROR: Faulty record in data_b1.txt: 19642.18346u65
ERROR: Faulty record in data_b1.txt: 29770.419m3
ERROR: Faulty record in data_b1.txt: 3512.23643K77
ERROR: Faulty record in data_b1.txt: 14300.251t40
ERROR: Faulty record in data_b1.txt: 34798.090655U73
ERROR: Faulty record in data_b1.txt: 5434.136j43
ERROR: Faulty record in data_b1.txt: 16514.627w7
ERROR: Faulty record in data_b1.txt: 12969.68J12
ERROR: Faulty record in data_b1.txt: 2089.838I42
ERROR: Faulty record in data_b1.txt: 20169.37692X46
ERROR: Faulty record in data_b1.txt: 7497.5749C27
ERROR: Faulty record in data_b1.txt: 43990.06q66
ERROR: Faulty record in data_b1.txt: 31004.14n61
ERROR: Faulty record in data_b1.txt: 46215.512876K69
ERROR: Faulty record in data_b1.txt: 14721.608691y67
ERROR: Faulty record in data_b1.txt: 26479.23671D48
ERROR: Faulty record in data_b1.txt: 23223.085x69
ERROR: Faulty record in data_b1.txt: 16288.3z0
ERROR: Faulty record in data_b1.txt: 3823.974637X51
ERROR: Faulty record in data_b1.txt: 20347.665127a19
ERROR: Faulty record in data_b1.txt: 1068.67y84
ERROR: Faulty record in data_b1.txt: 14494.165735K72
ERROR: Faulty record in data_b1.txt: 7487.45682F51
ERROR: Faulty record in data_b1.txt: 45699.85s54
ERROR: Faulty record in data_b1.txt: 36694.28431g97
ERROR: Faulty record in data_b1.txt: 16208.01M44
ERROR: Faulty record in data_b1.txt: 41870.0347B8
ERROR: Faulty record in data_b1.txt: 49539.805l13
ERROR: Faulty record in data_b1.txt: 27294.50409I99
ERROR: Faulty record in data_b1.txt: 18159.008Y88
ERROR: Faulty record in data_b1.txt: 21484.817c40
ERROR: Faulty record in data_b1.txt: 21624.88G12
ERROR: Faulty record in data_b1.txt: 6639.0609M6
ERROR: Faulty record in data_b1.txt: 15252.84i84
ERROR: Faulty record in data_b1.txt: 14353.1909K65
ERROR: Faulty record in data_b1.txt: 9755.91S0
ERROR: Faulty record in data_b1.txt: 11855.476831H45
ERROR: Faulty record in data_b1.txt: 24988.019G84
ERROR: Faulty record in data_b1.txt: 3430.88252h4
ERROR: Faulty record in data_b1.txt: 23345.91M84
ERROR: Faulty record in data_b1.txt: 20442.691N65
ERROR: Faulty record in data_b1.txt: 33660.55317h87
ERROR: Faulty record in data_b1.txt: 23345.584264B65
ERROR: Faulty record in data_b1.txt: 4042.04939T23
ERROR: Faulty record in data_b1.txt: 12347.2208X45
ERROR: Faulty record in data_b1.txt: 45219.687W61
ERROR: Faulty record in data_b1.txt: 31684.84y69
ERROR: Faulty record in data_b1.txt: 9610.29483F15
ERROR: Faulty record in data_b1.txt: 6287.601S86
ERROR: Faulty record in data_b1.txt: 9467.531049k84
ERROR: Faulty record in data_b1.txt: 24566.723L72
ERROR: Faulty record in data_b1.txt: 7761.0425t57
ERROR: Faulty record in data_b1.txt: 13888.108142F71
ERROR: Faulty record in data_b1.txt: 6655.638784f28
ERROR: Faulty record in data_b1.txt: 32327.62214d53
ERROR: Faulty record in data_b1.txt: 5462.63S65
ERROR: Faulty record in data_b1.txt: 18370.865606j49
ERROR: Faulty record in data_b1.txt: 43932.839866w43
ERROR: Faulty record in data_b1.txt: 13204.324475P49
ERROR: Faulty record in data_b1.txt: 4492.64499T27
ERROR: Faulty record in data_b1.txt: 2983.90883Q90
ERROR: Faulty record in data_b1.txt: 11076.48708b2
ERROR: Faulty record in data_b1.txt: 13581.82d39
ERROR: Faulty record in data_b1.txt: 6496.25d92
ERROR: Faulty record in data_b1.txt: 19209.078029L29
ERROR: Faulty record in data_b1.txt: 28085.673R8
ERROR: Faulty record in data_b1.txt: 27639.9928W51
ERROR: Faulty record in data_b1.txt: 2466.380331B90
ERROR: Faulty record in data_b1.txt: 21059.40961r96
ERROR: Faulty record in data_b1.txt: 13722.87625W58
ERROR: Faulty record in data_b1.txt: 32646.2664S39
ERROR: Faulty record in data_b1.txt: 7110.191S0
ERROR: Faulty record in data_b1.txt: 7777.352J26
ERROR: Faulty record in data_b1.txt: 14794.672G47
ERROR: Faulty record in data_b1.txt: 26983.096y65
ERROR: Faulty record in data_b1.txt: 10459.72I93
ERROR: Faulty record in data_b1.txt: 2698.33a95
ERROR: Faulty record in data_b1.txt: 26127.7199V77
ERROR: Faulty record in data_b1.txt: 33013.3778x86
ERROR: Faulty record in data_b1.txt: 31976.18p92
ERROR: Faulty record in data_b1.txt: 1322.0957W25
ERROR: Faulty record in data_b1.txt: 7090.4858J62
ERROR: Faulty record in data_b1.txt: 29004.456326Y17
ERROR: Faulty record in data_b1.txt: 46724.95c11
ERROR: Faulty record in data_b1.txt: 19259.3297I88
ERROR: Faulty record in data_b1.txt: 37118.22406o56
ERROR: Faulty record in data_b1.txt: 47108.845y63
ERROR: Faulty record in data_b1.txt: 31851.2P46
ERROR: Faulty record in data_b1.txt: 22133.77172a52
ERROR: Faulty record in data_b1.txt: 19746.4318g15
ERROR: Faulty record in data_b1.txt: 26419.055659I20
ERROR: Faulty record in data_b1.txt: 31690.5311t16
ERROR: Faulty record in data_b1.txt: 12690.9045T66
ERROR: Faulty record in data_b1.txt: 23472.12J45
ERROR: Faulty record in data_b1.txt: 11877.6106g88
ERROR: Faulty record in data_b1.txt: 14403.35485x84
ERROR: Faulty record in data_b1.txt: 22182.06468O37
ERROR: Faulty record in data_b1.txt: 60553.429c5
ERROR: Faulty record in data_b1.txt: 32310.36u56
ERROR: Faulty record in data_b1.txt: 15044.329f45
ERROR: Faulty record in data_b1.txt: 23613.52716d42
ERROR: Faulty record in data_b1.txt: 18633.38554z92
ERROR: Faulty record in data_b1.txt: 3225.21004d27
ERROR: Faulty record in data_b1.txt: 29071.707046z93
ERROR: Faulty record in data_b1.txt: 21134.4197U58
ERROR: Faulty record in data_b1.txt: 919.09K26
ERROR: Faulty record in data_b1.txt: 44670.305876A68
ERROR: Faulty record in data_b1.txt: 28570.502477l69
ERROR: Faulty record in data_b1.txt: 25551.5449P22
ERROR: Faulty record in data_b1.txt: 4668.3665b11
ERROR: Faulty record in data_b1.txt: 17387.8865J16
ERROR: Faulty record in data_b1.txt: 1570.02281v21
ERROR: Faulty record in data_b1.txt: 53883.5961t55
ERROR: Faulty record in data_b1.txt: 6061.86866J89
ERROR: Faulty record in data_b1.txt: 45232.544Y17
ERROR: Faulty record in data_b1.txt: 12872.8283c57
ERROR: Faulty record in data_b1.txt: 16267.338K22
ERROR: Faulty record in data_b1.txt: 19911.53S72
ERROR: Faulty record in data_b1.txt: 18356.01z14
ERROR: Faulty record in data_b1.txt: 3417.38D34
ERROR: Faulty record in data_b1.txt: 30221.8199J47
ERROR: Faulty record in data_b1.txt: 12786.7605w87
ERROR: Faulty record in data_b1.txt: 22616.338776a7
ERROR: Faulty record in data_b1.txt: 4154.11n68
ERROR: Faulty record in data_b1.txt: 25655.051777D99
ERROR: Faulty record in data_b1.txt: 22126.557W28
ERROR: Faulty record in data_b1.txt: 48419.4702i95
